"ID","Replicate Number","Destination Herbarium","NOCA Acc Number","NOCA Catalog Number","WTU Database ID","WTU Accession Number","Label Title","Family","Full Scientific Name","Genus","Species","Species author","Trinomial Rank","Trinomial Epithet","Trinomial Author","Quadrinomial Rank","Quadrinomial Epithet","Quadrinomial Author","ID Qualifier","Determination Number","Determiner","Determination Day","Determination Month","Determination Year","Fide","Determination Notes","Collector","Collector Number Prefix","Collector Number Numeric","Collector Number Suffix","Full Collector Number","Associated Collectors","Collection Day","Collection Month","Collection Year","Country","State","County","Locality","Elevation (ft)","Upper Elevation (ft)","Elevation (m)","Upper Elevation (m)","Lat Deg","Lat Min","Lat Sec","N or S","Long Deg","Long Min","Lon Sec","W or E","Lat-Long Datum","Lat-Long Accuracy (m)","Lat-Long Source","UTM Zone","UTM Easting","UTM Northing","UTM Datum","UTM Accuracy (m)","UTM Source","Township","Range","Section","Quarter","Site Description","Specimen Details","Miscellaneous Notes","Origin","Phenology","Conservation Status","GISlocID","Final_UTME","Final_UTMN","FinalUTM_Datum","Coord_checked","Coord_checked_by"
58,1.00,"NOCA",632.00,23924.00,31151.00,,"2002 WTU Forays for North Cascades National Park","Asteraceae","Erigeron leibergii","Erigeron","leibergii","Piper",,,,,,,,1.00,"Katie Mitchell",14.00,"Jan",2003.00,,,"Alison Colwell","AC 02-","31",,"AC 02-31",,10.00,"Aug",2002.00,"USA","Washington","Chelan","Near junction of Horseshoe Basin Trail and Stehekin Trail.",3608.00,,1100.00,,48.00,27.00,0.00,"N",121.00,1.00,0.00,"W",,,"Field notes",10.00,646653,5368218,"WGS 84",,"Calc. from Lat-Long",,,,,"Steep, open rockslide area with Penstemon rupicola, Abies lasiocarpa (small), Artemisia douglasii, Acer circinatum, Epilobium angustifolium, Sorbus scopulina, Pachistima mrysinites, Achillea millefolium, Rubus parviflorus, Taxus brevifolia, and Cryptogramma crispa.","Rays white to pink; disk flowers yellow to brown; variation in root morphology between adjacent plants; growing in gravel.",,"Native","Flowering & Fruiting",,"{2609B095-BC72-4F9A-934E-134F5A59D340}",645894,5369992,"NAD83","OK","Natalya Antonova"
59,2.00,"WTU",632.00,23925.00,31151.00,353983.00,"2002 WTU Forays for North Cascades National Park","Asteraceae","Erigeron leibergii","Erigeron","leibergii","Piper",,,,,,,,1.00,"Katie Mitchell",14.00,"Jan",2003.00,,,"Alison Colwell","AC 02-","31",,"AC 02-31",,10.00,"Aug",2002.00,"USA","Washington","Chelan","Near junction of Horseshoe Basin Trail and Stehekin Trail.",3608.00,,1100.00,,48.00,27.00,0.00,"N",121.00,1.00,0.00,"W",,,"Field notes",10.00,646653,5368218,"WGS 84",,"Calc. from Lat-Long",,,,,"Steep, open rockslide area with Penstemon rupicola, Abies lasiocarpa (small), Artemisia douglasii, Acer circinatum, Epilobium angustifolium, Sorbus scopulina, Pachistima mrysinites, Achillea millefolium, Rubus parviflorus, Taxus brevifolia, and Cryptogramma crispa.","Rays white to pink; disk flowers yellow to brown; variation in root morphology between adjacent plants; growing in gravel.",,"Native","Flowering & Fruiting",,"{2609B095-BC72-4F9A-934E-134F5A59D340}",645894,5369992,"NAD83","OK","Natalya Antonova"
60,1.00,"NOCA",632.00,23933.00,3214.00,,"2002 WTU Forays for North Cascades National Park","Brassicaceae","Arabis holboellii var. retrofracta","Arabis","holboellii","Hornem.","var.","retrofracta","(Grah.) Rydb.",,,,,1.00,"Katie Mitchell",8.00,"Jan",2003.00,"H&C",,"Alison Colwell","AC 02-","33",,"AC 02-33",,10.00,"Aug",2002.00,"USA","Washington","Chelan","Near junction of Horseshoe Basin Trail and Stehekin Trail.",3608.00,,1100.00,,48.00,27.00,0.00,"N",121.00,1.00,0.00,"W",,,"Field notes",10.00,646653,5368218,"WGS 84",,"Calc. from Lat-Long",,,,,"Steep, open rockslide area with Penstemon rupicola, Abies lasiocarpa (small), Artemisia douglasii, Acer circinatum, Epilobium angustifolium, Sorbus scopulina, Pachistima mrysinites, Achillea millefolium, Rubus parviflorus, Taxus brevifolia, and Cryptogramma crispa.","Flowers pinkish-white; growing on gravel slope with little vegetation.",,"Native","Flowering & Fruiting",,"{2609B095-BC72-4F9A-934E-134F5A59D340}",645894,5369992,"NAD83","OK","Natalya Antonova"
49,2.00,"WTU",632.00,23922.00,31150.00,353984.00,"2002 WTU Forays for North Cascades National Park","Juncaceae","Juncus drummondii var. subtriflorus","Juncus","drummondii","E. Meyer","var.","subtriflorus","(Meyer) Hitchc.",,,,,1.00,"Katie Mitchell",14.00,"Jan",2003.00,,,"Alison Colwell","AC 02-","18",,"AC 02-18",,10.00,"Aug",2002.00,"USA","Washington","Chelan","Tumblerock in Horseshoe Basin next to snowfield and below waterfalls.",4755.00,,1450.00,,48.00,28.00,42.70,"N",121.00,1.00,24.60,"W",,,"Field notes",10.00,646066,5371376,"WGS 84",,"Calc. from Lat-Long",,,,,"With Cryptogramma crispa, Valeriana sitchensis, Aquilegia formosa, Viola glabella, Anaphalis margaritacea, Achillea millifolium, Alnus sinuata, Sorbus scopulina, Sambucus racemosa, Chamaecyparis nootkatensis, Epilobium angustifolium, Castilleja miniata, Prunella vulgaris and Rubus parviflorus.","In dense clump 8 cm dia. in dry roadbed among dry moss; gynoecium red-tinged; stigmas frilly, pink; anthers yellow; perianth light brown with green base.",,"Native","Flowering",,"{82785CAF-CEDA-499D-979C-A10C138EBCB8}",646066,5371376,"NAD83","OK","Natalya Antonova"
50,3.00,"UBC",632.00,23923.00,31150.00,,"2002 WTU Forays for North Cascades National Park","Juncaceae","Juncus drummondii var. subtriflorus","Juncus","drummondii","E. Meyer","var.","subtriflorus","(Meyer) Hitchc.",,,,,1.00,"Katie Mitchell",14.00,"Jan",2003.00,,,"Alison Colwell","AC 02-","18",,"AC 02-18",,10.00,"Aug",2002.00,"USA","Washington","Chelan","Tumblerock in Horseshoe Basin next to snowfield and below waterfalls.",4755.00,,1450.00,,48.00,28.00,42.70,"N",121.00,1.00,24.60,"W",,,"Field notes",10.00,646066,5371376,"WGS 84",,"Calc. from Lat-Long",,,,,"With Cryptogramma crispa, Valeriana sitchensis, Aquilegia formosa, Viola glabella, Anaphalis margaritacea, Achillea millifolium, Alnus sinuata, Sorbus scopulina, Sambucus racemosa, Chamaecyparis nootkatensis, Epilobium angustifolium, Castilleja miniata, Prunella vulgaris and Rubus parviflorus.","In dense clump 8 cm dia. in dry roadbed among dry moss; gynoecium red-tinged; stigmas frilly, pink; anthers yellow; perianth light brown with green base.",,"Native","Flowering",,"{82785CAF-CEDA-499D-979C-A10C138EBCB8}",646066,5371376,"NAD83","OK","Natalya Antonova"
51,1.00,"NOCA",632.00,23926.00,31152.00,,"2002 WTU Forays for North Cascades National Park","Asteraceae","Solidago canadensis var. salebrosa","Solidago","canadensis","L.","var.","salebrosa","(Piper) Jones",,,,,1.00,"Katie Mitchell",14.00,"Jan",2003.00,,,"Alison Colwell","AC 02-","25",,"AC 02-25",,10.00,"Aug",2002.00,"USA","Washington","Chelan","Switchback of Horseshoe Basin, above start of trail.",3745.00,,1142.00,,48.00,27.00,0.00,"N",121.00,1.00,0.00,"W",,,"Field notes",10.00,646113,5370027,"WGS 84",,"Calc. from Lat-Long",,,,,"Steep, granite face with Populus tremuloides, Sedum sp., Pachistima myrsinites, Epilobium angustifolium, Achillea millefolium, Chamaecyparis nootkatensis; dried out seepy area with dried mosses on flat spots.","Plants in loose clumps, each stem on a short creeping rhizome that turns up to stem.",,"Native","Flowering",,"{DD33CFF8-69A4-44A5-A75B-3C6A5EE9F7B8}",646113,5370027,"NAD83","OK","Natalya Antonova"
52,2.00,"UBC",632.00,23927.00,31152.00,,"2002 WTU Forays for North Cascades National Park","Asteraceae","Solidago canadensis var. salebrosa","Solidago","canadensis","L.","var.","salebrosa","(Piper) Jones",,,,,1.00,"Katie Mitchell",14.00,"Jan",2003.00,,,"Alison Colwell","AC 02-","25",,"AC 02-25",,10.00,"Aug",2002.00,"USA","Washington","Chelan","Switchback of Horseshoe Basin, above start of trail.",3745.00,,1142.00,,48.00,27.00,0.00,"N",121.00,1.00,0.00,"W",,,"Field notes",10.00,646113,5370027,"WGS 84",,"Calc. from Lat-Long",,,,,"Steep, granite face with Populus tremuloides, Sedum sp., Pachistima myrsinites, Epilobium angustifolium, Achillea millefolium, Chamaecyparis nootkatensis; dried out seepy area with dried mosses on flat spots.","Plants in loose clumps, each stem on a short creeping rhizome that turns up to stem.",,"Native","Flowering",,"{DD33CFF8-69A4-44A5-A75B-3C6A5EE9F7B8}",646113,5370027,"NAD83","OK","Natalya Antonova"
53,3.00,"WTU",632.00,23928.00,31152.00,353982.00,"2002 WTU Forays for North Cascades National Park","Asteraceae","Solidago canadensis var. salebrosa","Solidago","canadensis","L.","var.","salebrosa","(Piper) Jones",,,,,1.00,"Katie Mitchell",14.00,"Jan",2003.00,,,"Alison Colwell","AC 02-","25",,"AC 02-25",,10.00,"Aug",2002.00,"USA","Washington","Chelan","Switchback of Horseshoe Basin, above start of trail.",3745.00,,1142.00,,48.00,27.00,0.00,"N",121.00,1.00,0.00,"W",,,"Field notes",10.00,646113,5370027,"WGS 84",,"Calc. from Lat-Long",,,,,"Steep, granite face with Populus tremuloides, Sedum sp., Pachistima myrsinites, Epilobium angustifolium, Achillea millefolium, Chamaecyparis nootkatensis; dried out seepy area with dried mosses on flat spots.","Plants in loose clumps, each stem on a short creeping rhizome that turns up to stem.",,"Native","Flowering",,"{DD33CFF8-69A4-44A5-A75B-3C6A5EE9F7B8}",646113,5370027,"NAD83","OK","Natalya Antonova"
54,1.00,"NOCA",632.00,23929.00,31153.00,,"2002 WTU Forays for North Cascades National Park","Apiaceae","Lomatium brandegei","Lomatium","brandegei","(Coult. & Rose) Macbr.",,,,,,,,1.00,"Katie Mitchell",8.00,"Jan",2003.00,,,"Alison Colwell","AC 02-","28",,"AC 02-28",,10.00,"Aug",2002.00,"USA","Washington","Chelan","Switchback of Horseshoe Basin, above start of trail.",3745.00,,1142.00,,48.00,27.00,0.00,"N",121.00,1.00,0.00,"W",,,"Field notes",10.00,646113,5370027,"WGS 84",,"Calc. from Lat-Long",,,,,"Steep, granite face with Populus tremuloides, Sedum sp., Pachistima myrsinites, Epilobium angustifolium, Achillea millefolium, Chamaecyparis nootkatensis; dried out seepy area with dried mosses on flat spots.","In fruit only; in clumps of 3-4 plants.",,"Native","Fruiting",,"{DD33CFF8-69A4-44A5-A75B-3C6A5EE9F7B8}",646113,5370027,"NAD83","OK","Natalya Antonova"
1,1.00,"NOCA",632.00,22246.00,30521.00,,"2002 WTU Forays for North Cascades National Park","Asteraceae","Hieracium albiflorum","Hieracium","albiflorum","Hook.",,,,,,,,1.00,"David Giblin",22.00,"Oct",2002.00,,,"Alison Colwell","02-","30",,"02-30",,10.00,"Aug",2002.00,"USA","Washington","Chelan","Near junction of Horseshoe Basin Trail and Stehekin Trail.",3608.00,,1100.00,,48.00,27.00,0.00,"N",121.00,1.00,0.00,"W",,,"Field notes",10.00,646653,5368218,"WGS 84",,"Calc. from Lat-Long",,,,,"Steep, open rockslide area with Penstemon rupicola, Abies lasiocarpa (small), Artemisia douglasii, Acer circinatum, Epilobium angustifolium, Sorbus scopulina, Pachistima mrysinites, Achillea millefolium, Rubus parviflora, Taxus brevifolia, and Cryptogramma crispa.","Red-tinged leaves with ciliate hairs along mid-rib; in gravelly soil.","Elevation and coordinates estimated from map.","Native","Fruiting",,"{2609B095-BC72-4F9A-934E-134F5A59D340}",645894,5369992,"NAD83","OK","Natalya Antonova"
