geometry,Bed Name,Location,Survey Date,survno,Acres,Miles,County,Time (GMT),Start time (PDT),End time (PDT),CORRECTED DEPTH: Edge closest to shore (m MLLW),CORRECTED DEPTH: Edge farthest from shore (m MLLW),Water Temp (C ) 1,Water Temp (C ) 2,Weather,Tide Station,Tidal Ht (m),Observations,Additonal Observations,Notes,Photo towards beach,Photo towards water,Photo beach on left,Photo beach on right,SurveyID,SurveyDate_Converted
Geocortex.Gis.Geometries.Polygon,North Beach East,North Beach Main,"June 20, 2020",,6.09627376592076,1.04800715852009,Jefferson,, 09:15 AM, 10:15 AM,0.6,2.8,11.5,10,Light rain,Point Wilson Lighthouse,-0.314,"Blades were young, fresh, and very healthy. We saw small fish jumping, and a couple seals. Bull kelp was growing right up to the tide line, intermixed with understory kelp species and surf grass.","Waypoint 37 is associated with the Beach Right photo. The bed went right up to the water line, so we paddled as close as we could to the shore. The two areas we outlined with the gps track had dense kelp. There were some sparse bulbs in the area between t",,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2020/i-JhhHv2g/0/CS5RBK8z3KBDpvTQDSF8jdXgZRwfMm3pNJ5MLwfMS/Th/NorthBeach_20Jun2020_ToBe-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2020/i-rnxf6wQ/0/C96NkKRCMnD7D22DBzj34R6cSGCJHPWth5dk2DWTr/Th/NorthBeach_20Jun2020_ToWa-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2020/i-3LV4ngT/0/C9kRPXFqmqdfLpSkrtkVRTxdHf5TfSchC47MC4WrV/Th/NorthBeach_20Jun2020_BeL-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2020/i-v42cHrj/0/DjLFDpG8Bc2Gv9TqkqxD5JH6PQ8BNZ69f47P8FHbJ/Th/NorthBeach_20Jun2020_BeR-XL.jpg,JeffersonNorth Beach East2020-06-20,2020-06-20T00:00:00.0000000
Geocortex.Gis.Geometries.Polygon,North Beach East,North Beach Main,"July 18, 2020",,13.0485426632631,1.19429538914882,Jefferson,, 09:35 AM, 10:52 AM,1.6,2.8,15,13,Clear,Point Wilson,-0.405,"Kelp healthy and sori present. Some kelp crabs and perch observed. Kelp is dense in the outer patch, and in the inner fringing patch. Sparse bulbs in between made determining the boundary difficult, especially as the tide came in. After finishing the first track at 10:35, we did a second track of the inner bed, between 10:40 and 10:52 to get a more conservative estimate of the inner bed size.","Tyler Cowdrey with DNR/Evergreen State College flew a drone during our kayak survey. He took lots of great footage and his kelp boundary line should be compared to our boundary. 

The surveyor taking the photo points was new, and didn't entirely capture c",,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2020/i-V3s8vtR/0/58nq8PV49GzjMnbBzHwqzvLBrsK8WDhsHg3BRXzM/Th/NorthBeach_18Jul2020_ToBe-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2020/i-MhLVZQH/0/fFJtKJTcMNhQB8tHPrmHzDMscFvk6KZVNsZgJB9B/Th/NorthBeach_18Jul2020_ToWa-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2020/i-2JgmnqD/0/CNXGL6mQxwXXfNkhN68jrrGH6cnnjwrRc6PnzpQqF/Th/NorthBeach_18Jul2020_BeL-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2020/i-rQK8sJz/0/DF7WXMHnNGQcSjbCW87nWsTtdtJbTQsBcgXfZcC4F/Th/NorthBeach_18Jul2020_BeR-XL.jpg,JeffersonNorth Beach East2020-07-18,2020-07-18T00:00:00.0000000
Geocortex.Gis.Geometries.Polygon,North Beach East,North Beach Main,"Aug 26, 2020",,14.8531339248388,1.41117684419218,Jefferson,, 08:58 AM, 10:10 AM,1.5,2.8,14,14,Clear,Point Wilson Lighthouse,-0.323,Kelp are reproductive. Lots of small fish present.,"The bed is still present in two semi-distinct sections. There is an inner fringing section and an outer patch. The area in-between has sparse bulbs. For the most part, the gps perimeter captures the outer edges of the dense (most bed-like) sections, excep",,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2020/i-GSr3t89/0/CbvNjbWPzFf5VPZSjHcQj9hL3g8fzMGjBP4cwcqgv/Th/NorthBeach_16Aug2020_ToBe-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2020/i-pJd263B/0/C99QbHxCCPSvPsmtkF2xVX44SNm3V84hm4s7FBxQF/Th/NorthBeach_16Aug2020_ToWa-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2020/i-7GKgbQC/0/CV9cgqSJ9hG7Zkp2XJwKVbGhqBPKBncLt7z9hDv68/Th/NorthBeach_16Aug2020_BeL-XL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2020/i-vqf7nk7/0/FN3xt7GRJMXKgmct8xmSJ2LdTrrKbjCdLMsgKbvvw/Th/NorthBeach_16Aug2020_BeR-XL.jpg,JeffersonNorth Beach East2020-08-16,2020-08-26T00:00:00.0000000
Geocortex.Gis.Geometries.Polygon,Biz Point,Biz Point,"June 25, 2020",,0.418561704478976,0.279939597389965,Skagit,, 01:02 PM, 02:00 PM,0.4,5.9,11.3,,Clear,Burrows Bay (Allen Island),-0.38104,"Kelp looked fresh without damage.  New kelp growing along beach, south of study area, where we have never observed it before.
3 healthy large purple Sea Stars observed on rocks at inside border of bed.","Used Continuous reading thermometer - serial number: 201698.  Depth about 12 inches when stationary. 
Started video at 1:35
Left kelp bed / completed study at 2:00 PM",,,,,,SkagitBiz Point2020-06-25,2020-06-25T00:00:00.0000000
Geocortex.Gis.Geometries.Polygon,Biz Point,Biz Point,"July 23, 2020",,0.697490097505101,0.28606130896826,Skagit,, 11:34 AM, 12:01 PM,,6.8,11.5,,Other,Burrows Bay,-0.264,"Kelp blades appeared healthy without damage. Observed 7 healthy, large purple sea stars on rocks along shore perimeter.",Used the RBR for water temperature,,,,,,SkagitBiz Point2020-07-23,2020-07-23T00:00:00.0000000
Geocortex.Gis.Geometries.Polygon,Biz Point,Biz Point,"Aug 29, 2020",,0.674354876523871,0.240231119471443,Skagit,, 07:02 AM, 07:29 AM,,10.2,11.7,,Clear,Burrows Bay,-0.11704,"Entire Kelp bed appeared healthy, vigorous, and undamaged. Baitfish were active near the entire perimeter.  There were 9 healthy purple sea stars on the rocks along the internal perimeter. A great blue heron moved around the bed and the rocks above but stubbornly stayed with us throughout the Survey.  One harbor seal observed us for a minute near the beginning and  two others observed us for several minutes before we were done.",water temperature: used RBR solo3 Temperature Logger continuously during Survey.,,,,,,SkagitBiz Point2020-08-29,2020-08-29T00:00:00.0000000
Geocortex.Gis.Geometries.Polygon,Ebey's Landing,Ebey's Landing,"June 18, 2020",1,17.9123615203395,1.22395016406924,Island,, 08:55 AM, 11:45 AM,4.7,4.7,11.8,11.7,Clear,9447905 Admiralty Inlet,-0.114,"Many tiny jumping fish
Few schools of tiny (< 20 mm) fish & larger (~ 60mm) herring
Few larger (~50 mm) shiner perch
Few jellies:  small moon jellies (< 20 mm), 1 large ctenophore (~ 40 mm)
5-6 pigeon guillemots at periphery of bed
Many (relatively) adult kelp crab, ~ 10 observed (videos) with decorated shells
This is the least amount of trash observed in the bed - only 1 piece of garbage found in > 2 hours.","Each person conducted an entire perimeter track around bed, going in opposite directions (VB clockwise, LR counterclockwise).",,,,,,IslandEbey's Landing2020-06-18_1,2020-06-18T00:00:00.0000000
Geocortex.Gis.Geometries.Polygon,Ebey's Landing,Ebey's Landing,"June 18, 2020",2,16.7670231267739,1.24221240714172,Island,, 08:55 AM, 11:45 AM,4.7,4.7,11.8,11.7,Clear,9447905 Admiralty Inlet,-0.114,"Many tiny jumping fish
Few schools of tiny (< 20 mm) fish & larger (~ 60mm) herring
Few larger (~50 mm) shiner perch
Few jellies:  small moon jellies (< 20 mm), 1 large ctenophore (~ 40 mm)
5-6 pigeon guillemots at periphery of bed
Many (relatively) adult kelp crab, ~ 10 observed (videos) with decorated shells
This is the least amount of trash observed in the bed - only 1 piece of garbage found in > 2 hours.","Each person conducted an entire perimeter track around bed, going in opposite directions (VB clockwise, LR counterclockwise).",,,,,,IslandEbey's Landing2020-06-18_2,2020-06-18T00:00:00.0000000
Geocortex.Gis.Geometries.Polygon,Ebey's Landing,Ebey's Landing,"July 18, 2020",1,32.6729646501294,1.80517060058226,Island,, 09:00 AM, 11:40 AM,6.1,4.6,11.5,11.9,Clear,9447905 Admiralty Inlet,0.01263,,,,,,,,IslandEbey's Landing2020-07-18_1,2020-07-18T00:00:00.0000000
Geocortex.Gis.Geometries.Polygon,Ebey's Landing,Ebey's Landing,"Aug 30, 2020",1,39.9926458070707,1.61833497046715,Island,, 08:55 AM, 11:45 AM,6.8,6.8,11.9,12,Clear,Admiralty Head (9447905),-0.376,,"Tracks are from 2 observers, going in opposite directions at the same time.",,,,,,IslandEbey's Landing2020-08-30_1,2020-08-30T00:00:00.0000000
